% Model,ZnO piezo unit_2.mph
% Version,COMSOL 6.4.0.343
% Date,"Apr 30 2026, 21:00"
% Table,Resonant Frequency vs Pressure - 
% p_app (kPa),freq (MHz),Frequency (MHz),log|Z|,Conductance (S)
0,205.1,205.1,3.1321793766362696,1.7906799448403792E-6
0,205.14999999999998,205.14999999999998,3.1284381804983816,1.7755589883930342E-6
0,205.2,205.2,3.1247571742913127,1.7617661985862626E-6
0,205.25,205.25,3.121132338401848,1.7497055272541582E-6
0,205.29999999999998,205.29999999999998,3.1175588649373425,1.7400274502737849E-6
0,205.35,205.35,3.114030596909918,1.7338287805105364E-6
0,205.39999999999998,205.39999999999998,3.110538983819454,1.7330707390486405E-6
0,205.45,205.45,3.107070980481925,1.7415368787448097E-6
0,205.5,205.5,3.1036043866033496,1.7673022997192946E-6
0,205.54999999999998,205.54999999999998,3.1000960853230675,1.8302004873557418E-6
0,205.6,205.6,3.0964464793670667,1.990280301335235E-6
0,205.64999999999998,205.64999999999998,3.09235830866339,2.505425831596179E-6
0,205.7,205.7,3.0864985637543567,5.670607944173793E-6
0,205.75,205.75,3.096272203416492,2.4426241099008908E-5
0,205.79999999999998,205.79999999999998,3.090210217470657,3.591048983056391E-6
0,205.85,205.85,3.0854897958997176,2.163491073384211E-6
0,205.89999999999998,205.89999999999998,3.081876074852053,1.817972835196271E-6
0,205.95,205.95,3.0786414790461323,1.6783231243500591E-6
0,206,206,3.075594734363332,1.6041709744900126E-6
0,206.04999999999998,206.04999999999998,3.0726647752119622,1.5572497531636024E-6
0,206.1,206.1,3.069818939970547,1.5237177177531905E-6
0,206.14999999999998,206.14999999999998,3.067039870846719,1.497589464128365E-6
0,206.2,206.2,3.064317287283437,1.475935218380629E-6
0,206.25,206.25,3.0616445537133936,1.4571834671252942E-6
0,206.29999999999998,206.29999999999998,3.05901707263737,1.440429686485671E-6
0,206.35,206.35,3.0564314630597154,1.4251232520217344E-6
0,206.39999999999998,206.39999999999998,3.0538851101260946,1.4109133497287968E-6
0,206.45,206.45,3.051375903811529,1.3975678951647942E-6
0,206.5,206.5,3.048902079932271,1.3849284545759017E-6
0,206.54999999999998,206.54999999999998,3.0464621194138743,1.3728839995391838E-6
0,206.6,206.6,3.0440546821791536,1.361355016656046E-6
0,206.64999999999998,206.64999999999998,3.0416785623751807,1.3502835584154166E-6
0,206.7,206.7,3.0393326571778747,1.3396268311700782E-6
0,206.75,206.75,3.0370159444782243,1.3293529578254288E-6
0,206.79999999999998,206.79999999999998,3.034727466519097,1.3194381176912065E-6
0,206.85,206.85,3.032466317604605,1.3098645802037193E-6
0,206.89999999999998,206.89999999999998,3.030231634647724,1.3006193339310383E-6
0,206.95,206.95,3.0280225897257225,1.2916931200557596E-6
0,207,207,3.025838384073819,1.283079747484854E-6
0,207.04999999999998,207.04999999999998,3.023678243118582,1.2747756077269707E-6
0,207.1,207.1,3.021541412263484,1.2667793351172503E-6
0,207.14999999999998,207.14999999999998,3.0194271532198105,1.2590915753126523E-6
0,207.2,207.2,3.017334740725543,1.2517148367952655E-6
0,207.25,207.25,3.0152634595334553,1.244653408210089E-6
0,207.29999999999998,207.29999999999998,3.0132126015724636,1.2379133300116066E-6
0,207.35,207.35,3.011181463206249,1.2315024128354517E-6
0,207.39999999999998,207.39999999999998,3.009169342522399,1.225430298254923E-6
0,207.45,207.45,3.007175536592674,1.2197085598590538E-6
0,207.5,207.5,3.0051993386505034,1.2143508444639068E-6
0,207.54999999999998,207.54999999999998,3.0032400351311797,1.2093730552681948E-6
0,207.6,207.6,3.0012969025195173,1.2047935802138507E-6
0,207.64999999999998,207.64999999999998,2.9993692039471673,1.2006335706319317E-6
0,207.7,207.7,2.9974561854740096,1.196917277083297E-6
0,207.75,207.75,2.995557071982759,1.1936724514257023E-6
